"TOA5","TS-SW","CR1000","93112","CR1000.Std.32.03","CPU:JacksonLaneV2.CR1","20188","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-05-02 00:00:00",0,12.51
"2021-05-03 00:00:00",1,12.49
"2021-05-04 00:00:00",2,12.49
"2021-05-05 00:00:00",3,12.49
"2021-05-06 00:00:00",4,12.47
"2021-05-07 00:00:00",5,12.44
"2021-05-08 00:00:00",6,12.42
"2021-05-09 00:00:00",7,12.4
"2021-05-10 00:00:00",8,12.39
"2021-05-11 00:00:00",9,12.4
"2021-05-12 00:00:00",10,12.38
"2021-05-13 00:00:00",11,12.37
"2021-05-14 00:00:00",12,12.35
"2021-05-15 00:00:00",13,12.35
"2021-05-16 00:00:00",14,12.34
"2021-05-17 00:00:00",15,12.32
"2021-05-18 00:00:00",16,12.32
"2021-05-19 00:00:00",17,12.31
"2021-05-20 00:00:00",18,12.3
"2021-05-21 00:00:00",19,12.75
"2021-05-22 00:00:00",20,12.72
"2021-05-23 00:00:00",21,12.73
"2021-05-24 00:00:00",22,12.73
"2021-05-25 00:00:00",23,12.69
"2021-05-26 00:00:00",24,12.68
"2021-05-27 00:00:00",25,12.68
"2021-05-28 00:00:00",26,12.67
"2021-05-29 00:00:00",27,12.65
"2021-05-30 00:00:00",28,12.61
"2021-05-31 00:00:00",29,12.6
"2021-06-01 00:00:00",30,12.59
"2021-06-02 00:00:00",31,12.6
"2021-06-03 00:00:00",32,12.6
"2021-06-04 00:00:00",33,12.59
"2021-06-05 00:00:00",34,12.58
"2021-06-06 00:00:00",35,12.57
"2021-06-07 00:00:00",36,12.56
"2021-06-08 00:00:00",37,12.56
"2021-06-09 00:00:00",38,12.55
"2021-06-10 00:00:00",39,12.52
"2021-06-11 00:00:00",40,12.51
"2021-06-12 00:00:00",41,12.49
"2021-06-13 00:00:00",42,12.47
"2021-06-14 00:00:00",43,12.47
"2021-06-15 00:00:00",44,12.46
"2021-06-16 00:00:00",45,12.45
"2021-06-17 00:00:00",46,12.43
"2021-06-18 00:00:00",47,12.42
"2021-06-19 00:00:00",48,12.4
"2021-06-20 00:00:00",49,12.41
"2021-06-21 00:00:00",50,12.4
"2021-06-22 00:00:00",51,12.39
"2021-06-23 00:00:00",52,12.36
"2021-06-24 00:00:00",53,12.34
"2021-06-25 00:00:00",54,12.33
"2021-06-26 00:00:00",55,12.32
